RiderName_Zweeler,ValgtAf,ValgtAfPct
"Jungels, Bob",6,0
"Mackellar, Alastair",6,0
"Mechelen, Vlad Van",6,0
"Meurisse, Xandro",6,0
"Milesi, Lorenzo",6,0
"Miquel, Pau",6,0
"Mollema, Bauke",6,0
"Oliveira, Ivo",6,0
"Plus, Laurens De",6,0
"Raccagni, Andrea",6,0
"Sosa, Ivan",6,0
"Taminiaux, Lionel",6,0
"Bais, Mattia",5,0
"Barrenetxea, Jon",5,0
"Bennett, George",5,0
"Bjerg, Mikkel",5,0
"Cepeda, Jefferson Alexander",5,0
"Conci, Nicola",5,0
"Degenkolb, John",5,0
"Delettre, Alexandre",5,0
"Herzog, Emil",5,0
"Johansen, Julius",5,0
"Kirsch, Alex",5,0
"Konrad, Patrick",5,0
"Lampaert, Yves",5,0
"Majka, Rafał",5,0
"Molard, Rudy",5,0
"Moniquet, Sylvain",5,0
"Neilands, Krists",5,0
"Pedersen, Henrik",5,0
"Pluimers, Rick",5,0
"Tesfatsion, Natnael",5,0
"Velasco, Simone",5,0
"Venturini, Clément",5,0
"Aberasturi, Jon",4,0
"Belle, Loe van",4,0
"Biermans, Jenthe",4,0
"Bizkarra, Mikel",4,0
"Cavagna, Rémi",4,0
"Christen, Fabio",4,0
"Cimolai, Davide",4,0
"Dalby, Simon",4,0
"Dewulf, Stan",4,0
"Dversnes, Fredrik",4,0
"Eržen, Zak",4,0
"Faure Prost, Alexy",4,0
"Fraile, Omar",4,0
"Gogl, Michael",4,0
"Gruel, Thibaud",4,0
"Heiduk, Kim",4,0
"Houle, Hugo",4,0
"Huby, Antoine",4,0
"Leemreize, Gijs",4,0
"Leitão, Iúri",4,0
"Louvel, Matîs",4,0
"McLay, Daniel",4,0
"Orins, Robin",4,0
"Peñalver, Manuel",4,0
"Pestel, Sander De",4,0
"Pickering, Finlay",4,0
"Puccio, Salvatore",4,0
"Rivera, Brandon",4,0
"Scaroni, Christian",4,0
"Schwarzmann, Michael",4,0
"Stannard, Robert",4,0
"Stewart, Jake",4,0
"Swift, Ben",4,0
"Thomas, Benjamin",4,0
"Vanhoucke, Harm",4,0
"Warlop, Jordi",4,0
"Arashiro, Yukiya",3,0
"Asbroeck, Tom Van",3,0
"Bais, Davide",3,0
"Berrade, Urko",3,0
"Bonneu, Kamiel",3,0
"Boven, Luca Van",3,0
"Castroviejo, Jonathan",3,0
"Covi, Alessandro",3,0
"Eiking, Odd Christian",3,0
"Fiorelli, Filippo",3,0
"Foss, Tobias",3,0
"Gachignard, Thomas",3,0
"Ghebreigzabhier, Amanuel",3,0
"Herrada, Jesús",3,0
"Kelderman, Wilco",3,0
"Kulset, Johannes",3,0
"Langellotti, Victor",3,0
"Leonard, Michael",3,0
"Masnada, Fausto",3,0
"Moer, Brent Van",3,0
"Molenaar, Alex",3,0
"Moro, Manlio",3,0
"Mühlberger, Gregor",3,0
"Novak, Domen",3,0
"Rochas, Rémy",3,0
"Sénéchal, Florian",3,0
"Svestad-Bårdseng, Embret",3,0
"Træen, Torstein",3,0
"Warbasse, Larry",3,0
"Allegaert, Piet",2,0
"Alvarez, Rodrigo",2,0
"Arcas, Jorge",2,0
"Arndt, Nikias",2,0
"Barbier, Pierre",2,0
"Barta, Will",2,0
"Barthe, Cyril",2,0
"Bax, Sjoerd",2,0
"Bekkum, Darren van",2,0
"Bernard, Julien",2,0
"Bondt, Dries De",2,0
"Buyst, Jasper De",2,0
"Chamberlain, Oscar",2,0
"Costa, Rui",2,0
"Coté, Pier-André",2,0
"Covili, Luca",2,0
"Debruyne, Ramses",2,0
"Dekker, David",2,0
"Delaplace, Anthony",2,0
"Eekhoff, Nils",2,0
"Engelhardt, Felix",2,0
"Ermakov, Roman",2,0
"Fedorov, Yevgeniy",2,0
"Fredheim, Stian",2,0
"Froome, Chris",2,0
"Garofoli, Gianmarco",2,0
"Gelders, Gil",2,0
"Gesbert, Elie",2,0
"Hennequin, Paul",2,0
"Juul-Jensen, Chris",2,0
"Kielich, Timo",2,0
"Knight, Oliver",2,0
"Kolze Changizi, Sebastian",2,0
