RiderName_Zweeler,RiderName_PCS,RiderTeam,RiderPrice
"Hirschi, Marc",Hirschi Marc,Tudor Pro Cycling Team,14.8
"Hirt, Jan",Hirt Jan,Israel - Premier Tech,5.2
"Hoecke, Gijs Van",Van Hoecke Gijs,Intermarché - Wanty,1.3
"Hoelgaard, Markus",Hoelgaard Markus,Uno-X Mobility,1.5
"Hofstetter, Hugo",Hofstetter Hugo,Israel - Premier Tech,2.7
"Hollmann, Juri",Hollmann Juri,Alpecin - Deceuninck,1.3
"Holter, Ådne",Holter Ådne,Uno-X Mobility,1.0
"Honoré, Mikkel",Honoré Mikkel Frølich,EF Education - EasyPost,2.7
"Hoole, Daan",Hoole Daan,Lidl - Trek,1.6
"Hoorn, Taco van der",Van Der Hoorn Taco,Intermarché - Wanty,2.1
"Houle, Hugo",Houle Hugo,Israel - Premier Tech,2.1
"Howson, Damien",Howson Damien,Australian National Team,2.1
"Huby, Antoine",Huby Antoine,Soudal - Quick-Step,1.7
"Huens, Axel",Huens Axel,Unibet Tietema Rockets,1.0
"Huising, Menno",Huising Menno,Team Visma - Lease a Bike,1.7
"Huyet, Baptiste",Huyet Baptiste,Unibet Tietema Rockets,1.0
"Huys, Laurens",Huys Laurens,Arkéa - BnB Hotels,1.1
"Hvideberg, Jonas",Hvideberg Jonas Iversby,Uno-X Mobility,1.0
"Iacchi, Alessandro",Iacchi Alessandro,Toscana Factory Team Vini Fantini,1.0
"Ibañez, Javier",Ibañez Javier,Caja Rural - Seguros RGA,1.0
"Inkelaar, Kevin",Inkelaar Kevin,Unibet Tietema Rockets,1.0
"Iribar, Unai",Iribar Unai,Equipo Kern Pharma,1.0
"Irvine, Declan",Irvine Declan,Team Novo Nordisk,1.0
"Isasa, Xabier",Isasa Xabier,Euskaltel - Euskadi,1.0
"Isidore, Noa",Isidore Noa,Decathlon AG2R La Mondiale,1.6
"Izagirre, Ion",Izagirre Ion,Cofidis,7.5
"Izquierdo, Clément",Izquierdo Clément,Cofidis,1.0
"Jackson, George",Jackson George,Burgos Burpellet BH,1.1
"Jacobs, Johan",Jacobs Johan,Groupama - FDJ,1.0
"Jakobsen, Fabio",Jakobsen Fabio,Team Picnic PostNL,8.3
"Jansen, Amund Grøndahl",Jansen Amund Grøndahl,Uno-X Mobility,1.0
"Janssens, Jimmy",Janssens Jimmy,Alpecin - Deceuninck,1.0
"Jeanniere, Emilien",Jeannière Emilien,TotalEnergies,1.7
"Jegat, Jordan",Jegat Jordan,TotalEnergies,2.1
"Johannessen, Anders",Johannessen Anders Halland,Uno-X Mobility,1.0
"Johannessen, Tobias",Johannessen Tobias Halland,Uno-X Mobility,8.4
"Johannink, Jelle",Johannink Jelle,Unibet Tietema Rockets,1.0
"Johansen, Julius",Johansen Julius,UAE Emirates XRG,1.1
"Johnston, Calum",Johnston Calum,Caja Rural - Seguros RGA,1.0
"Jorgenson, Matteo",Jorgenson Matteo,Team Visma - Lease a Bike,25.6
"Jousseaume, Alan",Jousseaume Alan,TotalEnergies,1.0
"Juaristi, Txomin",Juaristi Txomin,Euskaltel - Euskadi,1.3
"Jungels, Bob",Jungels Bob,INEOS Grenadiers,1.8
"Juul-Jensen, Chris",Juul-Jensen Christopher,Team Jayco AlUla,1.0
"Kajamini, Florian",Kajamini Florian Samuel,XDS Astana Team,1.2
"Kämna, Lennard",Kämna Lennard,Lidl - Trek,8.6
"Kamp, Alexander",Kamp Alexander,Intermarché - Wanty,2.5
"Kanter, Max",Kanter Max,XDS Astana Team,4.7
"Kelderman, Wilco",Kelderman Wilco,Team Visma - Lease a Bike,9.7
"Kelemen, Petr",Kelemen Petr,Tudor Pro Cycling Team,1.1
"Kepplinger, Rainer",Kepplinger Rainer,Bahrain Victorious,1.9
"Kielich, Timo",Kielich Timo,Alpecin - Deceuninck,2.0
"Kirsch, Alex",Kirsch Alex,Lidl - Trek,2.2
"Kleijn, Arvid de",De Kleijn Arvid,Tudor Pro Cycling Team,5.6
"Kluckers, Arthur",Kluckers Arthur,Tudor Pro Cycling Team,1.0
"Kmínek, Vojtěch",Kmínek Vojtěch,Burgos Burpellet BH,1.0
"Knight, Oliver",Knight Oliver,Cofidis,1.0
"Knox, James",Knox James,Soudal - Quick-Step,1.9
"Koch, Jonas",Koch Jonas,Red Bull - BORA - hansgrohe,1.2
"Koerdt, Bjoern",Koerdt Bjoern,Team Picnic PostNL,1.0
"Kogut, Oded",Kogut Oded,Israel - Premier Tech,1.0
"Kolze Changizi, Sebastian",Kolze Changizi Sebastian,Tudor Pro Cycling Team,1.0
"Konrad, Patrick",Konrad Patrick,Lidl - Trek,3.2
"Kooij, Olav",Kooij Olav,Team Visma - Lease a Bike,20.0
"Kopecký, Matyáš",Kopecký Matyáš,Team Novo Nordisk,1.3
"Kopecký, Tomáš",Kopecký Tomáš,Unibet Tietema Rockets,1.1
"Koyama, Tomoya",Koyama Tomoya,Burgos Burpellet BH,1.0
"Krieger, Alexander",Krieger Alexander,Tudor Pro Cycling Team,1.1
"Krijnsen, Jelte",Krijnsen Jelte,Team Jayco AlUla,3.0
"Kristoff, Alexander",Kristoff Alexander,Uno-X Mobility,6.8
"Kron, Andreas",Kron Andreas,Uno-X Mobility,8.3
"Kruijswijk, Steven",Kruijswijk Steven,Team Visma - Lease a Bike,2.0
"Kubiš, Lukáš",Kubiš Lukáš,Unibet Tietema Rockets,1.3
"Kudus, Merhawi",Kudus Merhawi,Burgos Burpellet BH,1.1
"Kulset, Johannes",Kulset Johannes,Uno-X Mobility,1.6
"Kulset, Magnus",Kulset Magnus,Uno-X Mobility,1.0
"Küng, Stefan",Küng Stefan,Groupama - FDJ,14.1
"Kuss, Sepp",Kuss Sepp,Team Visma - Lease a Bike,10.4
"Kuypers, Gerben",Kuypers Gerben,Intermarché - Wanty,1.0
"Kwiatkowski, Michal",Kwiatkowski Michał,INEOS Grenadiers,4.3
"Kyffin, Zeb",Kyffin Zeb,Unibet Tietema Rockets,1.1
"Labrosse, Jordan",Labrosse Jordan,Decathlon AG2R La Mondiale,1.2
"Laengen, Vegard Stake",Laengen Vegard Stake,UAE Emirates XRG,1.0
"Lafay, Victor",Lafay Victor,Decathlon AG2R La Mondiale,5.3
"Lambrecht, Michiel",Lambrecht Michiel,Wagner Bazin WB,1.0
"Lampaert, Yves",Lampaert Yves,Soudal - Quick-Step,4.7
"Lamperti, Luke",Lamperti Luke,Soudal - Quick-Step,7.9
"Landa, Mikel",Landa Mikel,Soudal - Quick-Step,17.2
"Langellotti, Victor",Langellotti Victor,INEOS Grenadiers,1.6
"Lanhove, Milan",Lanhove Milan,Team Flanders - Baloise,1.0
"Lapeira, Paul",Lapeira Paul,Decathlon AG2R La Mondiale,6.3
"Laporte, Christophe",Laporte Christophe,Team Visma - Lease a Bike,15.3
"Lastra, Jonathan",Lastra Jonathan,Cofidis,1.5
"Latour, Pierre",Latour Pierre,TotalEnergies,2.2
"Laurance, Axel",Laurance Axel,INEOS Grenadiers,4.4
"Lazkano, Oier",Lazkano Oier,Red Bull - BORA - hansgrohe,7.7
"Le Berre, Mathis",Le Berre Mathis,Arkéa - BnB Hotels,1.5
"Le Gac, Olivier",Le Gac Olivier,Groupama - FDJ,1.1
"Le Huitouze, Eddy",Le Huitouze Eddy,Groupama - FDJ,1.0
"Lecerf, William Junior",Lecerf Junior,Soudal - Quick-Step,4.3
"Lee, Jardi van der",Van Der Lee Jardi Christiaan,EF Education - EasyPost,1.1
"Leemreize, Gijs",Leemreize Gijs,Team Picnic PostNL,1.8
"Leijnse, Enzo",Leijnse Enzo,Team Picnic PostNL,1.0
"Leitão, Iúri",Leitão Iúri,Caja Rural - Seguros RGA,1.1
"Leknessund, Andreas",Leknessund Andreas,Uno-X Mobility,3.8
"Lemmen, Bart",Lemmen Bart,Team Visma - Lease a Bike,7.2
"Leonard, Michael",Leonard Michael,INEOS Grenadiers,1.0
"Lerberghe, Bert Van",Van Lerberghe Bert,Soudal - Quick-Step,1.1
"Leroux, Samuel",Leroux Samuel,TotalEnergies,1.3
"Lie, Arnaud De",De Lie Arnaud,Lotto,17.9
"Lienhard, Fabian",Lienhard Fabian,Tudor Pro Cycling Team,1.2
"Liepiņš, Emīls",Liepiņš Emīls,Q36.5 Pro Cycling Team,1.9
"Lipowitz, Florian",Lipowitz Florian,Red Bull - BORA - hansgrohe,17.0
"Livyns, Arjen",Livyns Arjen,Lotto,2.9
"Løland, Sakarias Koller",Løland Sakarias Koller,Uno-X Mobility,1.0
"Lonardi, Giovanni",Lonardi Giovanni,Team Polti VisitMalta,4.1
"Loockx, Lander",Loockx Lander,Unibet Tietema Rockets,1.2
"Lopez de Abetxuko, Andoni",López De Abetxuko Andoni,Euskaltel - Euskadi,1.0
"Lopez, Harold Martin",López Harold Martín,XDS Astana Team,1.7
"Lopez, Jordi",López Jordi,Euskaltel - Euskadi,1.0
"Lopez, Joseba",López Joseba,Caja Rural - Seguros RGA,1.1
"Lopez, Juan Pedro",López Juan Pedro,Lidl - Trek,3.3
"Louvel, Matîs",Louvel Matis,Israel - Premier Tech,2.3
"Lozano, David",Lozano David,Team Novo Nordisk,1.0
"Lozouet, Léandre",Lozouet Léandre,Arkéa - BnB Hotels,1.0
"Lutsenko, Alexey",Lutsenko Alexey,Israel - Premier Tech,5.5
"Maas, Jan",Maas Jan,Cofidis,1.0
"Maciejuk, Filip",Maciejuk Filip,Red Bull - BORA - hansgrohe,1.0
"Mackellar, Alastair",Mackellar Alastair,EF Education - EasyPost,1.0
"Madouas, Valentin",Madouas Valentin,Groupama - FDJ,9.2
"Maestri, Mirco",Maestri Mirco,Team Polti VisitMalta,1.4
"Magli, Filippo",Magli Filippo,VF Group - Bardiani CSF - Faizanè,1.6
"Magnier, Paul",Magnier Paul,Soudal - Quick-Step,8.5
"Mahoudo, Nolann",Mahoudo Nolann,Cofidis,1.0
"Maire, Adrien",Maire Adrien,Unibet Tietema Rockets,1.0
"Maisonobe, Sam",Maisonobe Sam,Cofidis,1.0
"Majka, Rafał",Majka Rafał,UAE Emirates XRG,2.7
"Małecki, Kamil",Małecki Kamil,Q36.5 Pro Cycling Team,1.2
"Malucelli, Matteo",Malucelli Matteo,XDS Astana Team,1.3
"Manzin, Lorrenzo",Manzin Lorrenzo,TotalEnergies,1.2
"Marcellusi, Martin",Marcellusi Martin,VF Group - Bardiani CSF - Faizanè,1.3
"Marcerou, Nicola",Marcerou Nicola,TotalEnergies,1.0
"Maris, Elias",Maris Elias,Team Flanders - Baloise,1.0
"Marit, Arne",Marit Arne,Intermarché - Wanty,2.5
"Märkl, Niklas",Märkl Niklas,Team Picnic PostNL,1.1
"Martín, Alex",Martín Alex,Team Polti VisitMalta,1.0
"Martín, David",Martin David,Burgos Burpellet BH,1.0
"Martín, Gotzon",Martín Gotzon,Euskaltel - Euskadi,1.1
"Martin, Guillaume",Martin Guillaume,Groupama - FDJ,6.7
"Martinelli, Alessio",Martinelli Alessio,VF Group - Bardiani CSF - Faizanè,1.0
"Martínez, Daniel",Martínez Daniel Felipe,Red Bull - BORA - hansgrohe,14.2
"Martinez, Juan Guillermo",Martinez Guillermo Juan,Team Picnic PostNL,1.4
"Martinez, Lenny",Martinez Lenny,Bahrain Victorious,9.2
"Mas, Enric",Mas Enric,Movistar Team,22.2
"Masnada, Fausto",Masnada Fausto,XDS Astana Team,2.7
"Matthews, Michael",Matthews Michael,Team Jayco AlUla,12.2
"Matthys, Louka",Matthys Louka,Wagner Bazin WB,1.0
"Mayrhofer, Marius",Mayrhofer Marius,Tudor Pro Cycling Team,4.9
"McDonald, Bailey",Mcdonald Bailey,Team Novo Nordisk,1.0
"McLay, Daniel",Mclay Daniel,Team Visma - Lease a Bike,1.8
"McNulty, Brandon",Mcnulty Brandon,UAE Emirates XRG,16.7
"Mechelen, Vlad Van",Van Mechelen Vlad,Bahrain Victorious,1.7
"Meens, Johan",Meens Johan,Wagner Bazin WB,1.0
"Meester, Luca De",De Meester Luca,Wagner Bazin WB,1.0
"Meeus, Jordi",Meeus Jordi,Red Bull - BORA - hansgrohe,7.8
"Meintjes, Louis",Meintjes Louis,Intermarché - Wanty,3.6
"Menten, Milan",Menten Milan,Lotto,3.5
"Meo, Felix James",Meo Felix James,Toscana Factory Team Vini Fantini,1.0
"Meris, Sergio",Meris Sergio,Unibet Tietema Rockets,1.1
"Merlier, Tim",Merlier Tim,Soudal - Quick-Step,19.5
"Meulen, Max van der",Van Der Meulen Max,Bahrain Victorious,1.0
"Meurisse, Xandro",Meurisse Xandro,Alpecin - Deceuninck,1.6
"Mezgec, Luka",Mezgec Luka,Team Jayco AlUla,2.2
"Mihkels, Madis",Mihkels Madis,EF Education - EasyPost,5.6
"Miholjević, Fran",Miholjević Fran,Bahrain Victorious,1.0
"Mikutis, Aivaras",Mikutis Aivaras,Tudor Pro Cycling Team,1.0
"Milan, Jonathan",Milan Jonathan,Lidl - Trek,25.3
"Milesi, Lorenzo",Milesi Lorenzo,Movistar Team,2.2
"Mintegi, Iker",Mintegi Iker,Euskaltel - Euskadi,1.0
"Miquel, Pau",Miquel Pau,Equipo Kern Pharma,6.3
"Moer, Brent Van",Van Moer Brent,Lotto,1.3
"Mohorič, Matej",Mohorič Matej,Bahrain Victorious,13.0
"Molano, Sebastián",Molano Juan Sebastián,UAE Emirates XRG,6.0
"Molard, Rudy",Molard Rudy,Groupama - FDJ,2.7
"Molenaar, Alex",Molenaar Alex,Caja Rural - Seguros RGA,1.8
"Mollema, Bauke",Mollema Bauke,Lidl - Trek,5.1
"Moniquet, Sylvain",Moniquet Sylvain,Cofidis,2.4
"Montagner, Andrea",Montagner Andrea,VF Group - Bardiani CSF - Faizanè,1.0
"Morgado, António",Morgado António,UAE Emirates XRG,4.1
"Moro, Manlio",Moro Manlio,Movistar Team,1.0
"Mosca, Jacopo",Mosca Jacopo,Lidl - Trek,1.1
"Moschetti, Matteo",Moschetti Matteo,Q36.5 Pro Cycling Team,2.1
"Moscon, Gianni",Moscon Gianni,Red Bull - BORA - hansgrohe,1.7
"Mouris, Wessel",Mouris Wessel,Unibet Tietema Rockets,1.1
"Mozzato, Luca",Mozzato Luca,Arkéa - BnB Hotels,4.0
"Mühlberger, Gregor",Mühlberger Gregor,Movistar Team,2.0
"Mullen, Ryan",Mullen Ryan,Red Bull - BORA - hansgrohe,1.2
"Muller, Anton",Muller Anton,Team Novo Nordisk,1.0
"Mulubrhan, Henok",Mulubrhan Henok,XDS Astana Team,1.2
"Muñoz, Fran",Muñoz Francisco,Team Polti VisitMalta,1.0
"Murguialday, Jokin",Murguialday Jokin,Euskaltel - Euskadi,1.0
"Naberman, Tim",Naberman Tim,Team Picnic PostNL,1.0
"Naesen, Oliver",Naesen Oliver,Decathlon AG2R La Mondiale,2.0
"Narváez, Jhonatan",Narváez Jhonatan,UAE Emirates XRG,13.6
"Neilands, Krists",Neilands Krists,Israel - Premier Tech,3.2
"Nencini, Tommaso",Nencini Tommaso,Toscana Factory Team Vini Fantini,1.0
"Nerurkar, Lukas",Nerurkar Lukas,EF Education - EasyPost,5.5
"Nicolau, Joel",Nicolau Joel,Caja Rural - Seguros RGA,1.0
"Nielsen, Sebastian",Nielsen Sebastian,Unibet Tietema Rockets,1.0
"Nizzolo, Giacomo",Nizzolo Giacomo,Q36.5 Pro Cycling Team,2.8
"Nordhagen, Jørgen",Nordhagen Jørgen,Team Visma - Lease a Bike,3.1
"Norsgaard, Mathias",Norsgaard Mathias,Movistar Team,1.1
"Novak, Domen",Novak Domen,UAE Emirates XRG,1.0
"Nys, Thibau",Nys Thibau,Lidl - Trek,9.9
"O'Brien, Kelland",O'Brien Kelland,Team Jayco AlUla,1.1
"O'Connor, Ben",O'Connor Ben,Team Jayco AlUla,21.8
"Okamika, Ander",Okamika Ander,Burgos Burpellet BH,1.0
"Oldani, Stefano",Oldani Stefano,Cofidis,2.6
"Oliveira, Ivo",Oliveira Ivo,UAE Emirates XRG,1.2
"Oliveira, Nelson",Oliveira Nelson,Movistar Team,2.5
"Oliveira, Rui",Oliveira Rui,UAE Emirates XRG,2.2
"Onley, Oscar",Onley Oscar,Team Picnic PostNL,14.7
"Oomen, Sam",Oomen Sam,Lidl - Trek,1.9
"Orins, Robin",Orins Robin,Lotto,1.1
"Otruba, Jakub",Otruba Jakub,Caja Rural - Seguros RGA,1.1
"Ourselin, Paul",Ourselin Paul,Cofidis,1.1
"Paar, Jarne Van de",Van De Paar Jarne,Lotto,2.0
"Paasschens, Mathijs",Paasschens Mathijs,Bahrain Victorious,1.0
"Pacher, Quentin",Pacher Quentin,Groupama - FDJ,3.6
"Page, Hugo",Page Hugo,Intermarché - Wanty,4.4
"Paige, Charles",Paige Charles,Unibet Tietema Rockets,1.0
"Paleni, Enzo",Paleni Enzo,Groupama - FDJ,1.6
"Paletti, Luca",Paletti Luca,VF Group - Bardiani CSF - Faizanè,1.0
"Palzer, Anton",Palzer Anton,Red Bull - BORA - hansgrohe,1.0
"Papon, Victor",Papon Victor,Wagner Bazin WB,1.0
"Paquot, Tom",Paquot Tom,Intermarché - Wanty,1.0
"Paret-Peintre, Aurélien",Paret-Peintre Aurélien,Decathlon AG2R La Mondiale,5.7
"Paret-Peintre, Valentin",Paret-Peintre Valentin,Soudal - Quick-Step,6.9
"Parisini, Nicolò",Parisini Nicolò,Q36.5 Pro Cycling Team,1.5
"Parra, José Félix",Parra José Félix,Equipo Kern Pharma,2.3
"Pasqualon, Andrea",Pasqualon Andrea,Bahrain Victorious,2.1
"Pedersen, Casper",Pedersen Casper,Soudal - Quick-Step,1.2
"Pedersen, Henrik",Pedersen Henrik,Uno-X Mobility,1.3
"Pedersen, Mads",Pedersen Mads,Lidl - Trek,28.1
"Pedersen, Rasmus Søjberg",Pedersen Rasmus Søjberg,Decathlon AG2R La Mondiale,2.1
"Pedrero, Antonio",Pedrero Antonio,Movistar Team,1.7
"Pellizzari, Giulio",Pellizzari Giulio,Red Bull - BORA - hansgrohe,6.8
"Peñalver, Manuel",Peñalver Manuel,Team Polti VisitMalta,1.2
"Penhoët, Paul",Penhoët Paul,Groupama - FDJ,4.8
"Peñuela, Francisco",Peñuela Francisco Joel,Caja Rural - Seguros RGA,1.0
"Percrule, Doriand",Percrule Doriand,Team Novo Nordisk,1.0
"Perez, Anthony",Perez Anthony,Cofidis,1.0
"Peron, Andrea",Peron Andrea,Team Novo Nordisk,1.0
"Perracchione, Alessandro",Perracchione Alessandro,Team Novo Nordisk,1.0
"Persico, Davide",Persico Davide,Wagner Bazin WB,1.2
"Pescador, Diego",Pescador Diego,Movistar Team,1.0
"Pestel, Sander De",De Pestel Sander,Decathlon AG2R La Mondiale,1.0
"Petegem, Axandre Van",Van Petegem Axandre,Wagner Bazin WB,1.0
"Peters, Nans",Peters Nans,Decathlon AG2R La Mondiale,1.5
"Petilli, Simone",Petilli Simone,Intermarché - Wanty,1.3
"Petit, Adrien",Petit Adrien,Intermarché - Wanty,1.0
"Philipsen, Jasper",Philipsen Jasper,Alpecin - Deceuninck,27.5
"Phippen, Logan",Phippen Logan,Team Novo Nordisk,1.0
"Pickering, Finlay",Pickering Finlay,Bahrain Victorious,1.2
"Pickrell, Riley",Pickrell Riley,Israel - Premier Tech,2.4
"Pidcock, Joe",Pidcock Joseph,Q36.5 Pro Cycling Team,1.1
"Pidcock, Tom",Pidcock Thomas,Q36.5 Pro Cycling Team,18.0
"Pietrobon, Andrea",Pietrobon Andrea,Team Polti VisitMalta,1.2
"Piganzoli, Davide",Piganzoli Davide,Team Polti VisitMalta,5.6
"Pinarello, Alessandro",Pinarello Alessandro,VF Group - Bardiani CSF - Faizanè,1.1
"Pinazzi, Mattia",Pinazzi Mattia,VF Group - Bardiani CSF - Faizanè,1.0
"Piras, Andrea",Piras Andrea,Toscana Factory Team Vini Fantini,1.0
"Pithie, Laurence",Pithie Laurence,Red Bull - BORA - hansgrohe,12.9
"Planckaert, Edward",Planckaert Edward,Alpecin - Deceuninck,1.1
"Plapp, Luke",Plapp Luke,Team Jayco AlUla,9.1
"Plowright, Jensen",Plowright Jensen,Alpecin - Deceuninck,1.2
"Pluimers, Rick",Pluimers Rick,Tudor Pro Cycling Team,1.9
"Plus, Laurens De",De Plus Laurens,INEOS Grenadiers,5.5
"Poel, Mathieu van der",Van Der Poel Mathieu,Alpecin - Deceuninck,28.0
"Poels, Wout",Poels Wout,XDS Astana Team,4.9
"Pogačar, Tadej",Pogačar Tadej,UAE Emirates XRG,60.0
"Polga, Antonio",Polga Antonio,Team Novo Nordisk,1.0
"Poli, Umberto",Poli Umberto,Team Novo Nordisk,1.0
"Politt, Nils",Politt Nils,UAE Emirates XRG,7.0
"Pollefliet, Gianluca",Pollefliet Gianluca,Decathlon AG2R La Mondiale,1.8
"Poole, Max",Poole Max,Team Picnic PostNL,8.7
"Pooter, Dries De",De Pooter Dries,Intermarché - Wanty,1.1
"Poppel, Danny van",Van Poppel Danny,Red Bull - BORA - hansgrohe,7.4
"Portsmouth, Tom",Portsmouth Tom,Wagner Bazin WB,1.0
"Poucke, Aaron Van",Van Poucke Aaron,Team Flanders - Baloise,1.0
"Powless, Neilson",Powless Neilson,EF Education - EasyPost,11.4
"Prades, Eduard",Prades Eduard,Caja Rural - Seguros RGA,1.0
"Price-Pejtersen, Johan",Price-Pejtersen Johan,Alpecin - Deceuninck,1.2
"Prodhomme, Nicolas",Prodhomme Nicolas,Decathlon AG2R La Mondiale,1.2
"Puccio, Salvatore",Puccio Salvatore,INEOS Grenadiers,1.0
"Quartucci, Lorenzo",Quartucci Lorenzo,Toscana Factory Team Vini Fantini,1.0
"Quinn, Sean",Quinn Sean,EF Education - EasyPost,1.7
"Quintana, Nairo",Quintana Nairo,Movistar Team,3.9
"Raccagni, Andrea",Raccagni Noviero Andrea,Soudal - Quick-Step,1.0
"Raccagni, Gabriele",Raccagni Gabriele,Team Polti VisitMalta,1.0
"Rafferty, Darren",Rafferty Darren,EF Education - EasyPost,1.7
"Raisberg, Nadav",Raisberg Nadav,Israel - Premier Tech,1.0
"Rajović, Dušan",Rajović Dušan,Toscana Factory Team Vini Fantini,1.1
"Reinderink, Pepijn",Reinderink Pepijn,Soudal - Quick-Step,1.0
"Reinders, Elmar",Reinders Elmar,Team Jayco AlUla,1.1
"Renard-Haquin, Henri-François",Renard-Haquin Henri-François,Wagner Bazin WB,1.0
"Renard, Alexis",Renard Alexis,Cofidis,1.8
"Resell, Erik",Resell Erik Nordsæter,Uno-X Mobility,1.0
"Retailleau, Valentin",Retailleau Valentin,TotalEnergies,1.1
"Retegi, Mikel",Retegi Mikel,Equipo Kern Pharma,1.3
"Rex, Laurenz",Rex Laurenz,Intermarché - Wanty,2.5
"Reynders, Jens",Reynders Jens,Wagner Bazin WB,1.0
"Riccitello, Matthew",Riccitello Matthew,Israel - Premier Tech,8.2
"Rickaert, Jonas",Rickaert Jonas,Alpecin - Deceuninck,1.3
"Ridolfo, Filippo",Ridolfo Filippo,Team Novo Nordisk,1.0
"Ries, Michel",Ries Michel,Arkéa - BnB Hotels,1.0
"Riesebeek, Oscar",Riesebeek Oscar,Alpecin - Deceuninck,1.1
"Rivera, Brandon",Rivera Brandon Smith,INEOS Grenadiers,2.9
"Robeet, Ludovic",Robeet Ludovic,Cofidis,1.0
"Rochas, Rémy",Rochas Rémy,Groupama - FDJ,2.7
"Rodriguez, Carlos",Rodríguez Carlos,INEOS Grenadiers,24.0
"Rodríguez, Cristian",Rodríguez Cristián,Arkéa - BnB Hotels,5.8
"Rodríguez, Oscar",Rodríguez Óscar,INEOS Grenadiers,1.9
"Roglič, Primož",Roglič Primož,Red Bull - BORA - hansgrohe,37.8
"Rojas, Vicente",Rojas Vicente,VF Group - Bardiani CSF - Faizanè,1.0
"Rolando, Joann",Rolando Joann,Toscana Factory Team Vini Fantini,1.0
"Rolland, Brieuc",Rolland Brieuc,Groupama - FDJ,1.1
"Romele, Alessandro",Romele Alessandro,XDS Astana Team,1.1
"Romeo, Iván",Romeo Iván,Movistar Team,2.4
"Romo, Javier",Romo Javier,Movistar Team,4.3
"Rondel, Mathys",Rondel Mathys,Tudor Pro Cycling Team,1.3
"Roosen, Timo",Roosen Timo,Team Picnic PostNL,1.0
"Rootkin-Gray, Jack",Rootkin-Gray Jack,EF Education - EasyPost,1.0
"Rooy, Kenneth Van",Van Rooy Kenneth,Wagner Bazin WB,1.1
"Rota, Lorenzo",Rota Lorenzo,Intermarché - Wanty,3.2
"Rouland, Louis",Rouland Louis,Arkéa - BnB Hotels,1.0
"Rubio, Einer",Rubio Einer,Movistar Team,8.0
"Ruiz, Ibon",Ruiz Ibon,Equipo Kern Pharma,1.0
"Russo, Clément",Russo Clément,Groupama - FDJ,1.4
"Rutsch, Jonas",Rutsch Jonas,Intermarché - Wanty,1.4
"Ryan, Archie",Ryan Archie,EF Education - EasyPost,6.3
"Sainbayar, Jambaljamts",Sainbayar Jambaljamts,Burgos Burpellet BH,1.0
"Samitier, Sergio",Samitier Sergio,Cofidis,1.0
"Samudio, Carlos",Samudio Carlos,Toscana Factory Team Vini Fantini,1.0
"Sanchez, Pelayo",Sánchez Pelayo,Movistar Team,6.2
"Sande, Tosh Van der",Van Der Sande Tosh,Team Visma - Lease a Bike,1.1
"Sbaragli, Kristian",Sbaragli Kristian,Toscana Factory Team Vini Fantini,1.2
"Scalco, Matteo",Scalco Matteo,VF Group - Bardiani CSF - Faizanè,1.0
"Scaroni, Christian",Scaroni Christian,XDS Astana Team,3.8
"Schachmann, Maximilian",Schachmann Maximilian,Soudal - Quick-Step,6.0
"Schelling, Ide",Schelling Ide,XDS Astana Team,3.2
"Schmid, Mauro",Schmid Mauro,Team Jayco AlUla,7.0
"Schultz, Nick",Schultz Nick,Israel - Premier Tech,2.5
"Schuyteneer, Steffen De",De Schuyteneer Steffen,Lotto,1.7
"Schwarzmann, Michael",Schwarzmann Michael,Israel - Premier Tech,1.0
"Scotson, Callum",Scotson Callum,Decathlon AG2R La Mondiale,1.3
"Scotson, Miles",Scotson Miles,Arkéa - BnB Hotels,1.0
"Segaert, Alec",Segaert Alec,Lotto,5.5
"Seixas, Paul",Seixas Paul,Decathlon AG2R La Mondiale,2.0
"Sénéchal, Florian",Sénéchal Florian,Arkéa - BnB Hotels,3.3
"Sepúlveda, Eduardo",Sepúlveda Eduardo,Lotto,1.1
"Serrano, Gonzalo",Serrano Gonzalo,Movistar Team,2.3
"Serrano, Javi",Serrano Javier,Team Polti VisitMalta,1.1
"Serry, Pieter",Serry Pieter,Soudal - Quick-Step,1.0
"Sevilla, Diego Pablo",Sevilla Diego Pablo,Team Polti VisitMalta,1.0
"Shaw, James",Shaw James,EF Education - EasyPost,1.1
"Sheehan, Riley",Sheehan Riley,Israel - Premier Tech,4.6
"Sheffield, Magnus",Sheffield Magnus,INEOS Grenadiers,11.0
"Shmidt, Artem",Shmidt Artem,INEOS Grenadiers,1.0
"Silva, Thomas",Silva Guillermo Thomas,Caja Rural - Seguros RGA,1.1
"Simmons, Quinn",Simmons Quinn,Lidl - Trek,4.0
"Sintmaartensdijk, Roel van",Van Sintmaartensdijk Roel,Intermarché - Wanty,1.0
"Sivakov, Pavel",Sivakov Pavel,UAE Emirates XRG,8.9
"Skaarseth, Anders",Skaarseth Anders,Uno-X Mobility,1.0
"Skerl, Daniel",Skerl Daniel,Bahrain Victorious,1.1
"Skjelmose, Mattias",Skjelmose Mattias,Lidl - Trek,24.9
"Skujins, Toms",Skujiņš Toms,Lidl - Trek,9.0
"Slock, Liam",Slock Liam,Lotto,1.1
"Smith, Dion",Smith Dion,Intermarché - Wanty,1.8
"Smith, Nathan",Smith Nathan,Team Novo Nordisk,1.0
"Sobrero, Matteo",Sobrero Matteo,Red Bull - BORA - hansgrohe,3.9
