Navn,Hold,Pris,Løbsdage,Point,Profit,Cheapo,Managers
"Budding, Martijn",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Bugge, Martin Urianstad",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Buitrago, Santiago",Bahrain Victorious,13.5,1,15,1.1,,Matti
"Buratti, Nicolò",Bahrain Victorious,1.1,5,0,0.0,Ja,
"Burgaudeau, Mathieu",TotalEnergies,3.7,0,0,0.0,,
"Burnett, Josh",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Busatto, Francesco",Intermarché - Wanty,3.1,7,4,1.3,,
"Buttigieg, Aidan",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"Buyst, Jasper De",Lotto,1.9,0,0,0.0,Ja,
"Bystrøm, Sven Erik",Groupama - FDJ,1.9,7,0,0.0,Ja,
"Calzoni, Walter",Q36.5 Pro Cycling Team,1.0,1,0,0.0,Ja,
"Campenaerts, Victor",Team Visma - Lease a Bike,4.8,0,0,0.0,,Tommy
"Camprubi, Marcel",Q36.5 Pro Cycling Team,1.0,0,0,0.0,Ja,
"Canal, Carlos",Movistar Team,2.0,7,0,0.0,Ja,
"Capiot, Amaury",Arkéa - BnB Hotels,1.7,0,0,0.0,Ja,
"Carapaz, Richard",EF Education - EasyPost,16.5,0,0,0.0,,Knak
"Carboni, Giovanni",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Carr, Simon",Cofidis,2.0,0,0,0.0,Ja,
"Carrascosa, Pablo",Equipo Kern Pharma,1.0,5,0,0.0,Ja,
"Carthy, Hugh",EF Education - EasyPost,3.5,0,0,0.0,,
"Caruso, Damiano",Bahrain Victorious,3.0,0,0,0.0,,
"Castellon, Jan",Caja Rural - Seguros RGA,1.0,5,0,0.0,Ja,
"Castrillo, Pablo",Movistar Team,10.0,1,0,0.0,,Matti
"Castroviejo, Jonathan",INEOS Grenadiers,1.8,1,0,0.0,Ja,
"Cattaneo, Mattia",Soudal - Quick-Step,3.7,0,0,0.0,,
"Cavagna, Rémi",Groupama - FDJ,3.6,0,0,0.0,,
"Cavia, Daniel",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Cepeda, Jefferson Alexander",EF Education - EasyPost,1.8,0,0,0.0,Ja,
"Cepeda, Jefferson Alveiro",Movistar Team,2.9,1,8,2.8,,
"Cerný, Josef",Soudal - Quick-Step,1.5,0,0,0.0,Ja,
"Cettolin, Filippo",VF Group - Bardiani CSF - Faizanè,1.1,0,0,0.0,Ja,
"Chamberlain, Oscar",Decathlon AG2R La Mondiale,1.0,0,0,0.0,Ja,
"Champoussin, Clément",XDS Astana Team,2.3,0,0,0.0,Ja,
"Charmig, Anthon",XDS Astana Team,1.3,0,0,0.0,Ja,
"Chaves, Esteban",EF Education - EasyPost,2.1,7,12,5.7,Ja,
